# Amorce des protocoles de contrôle qualité.
#
# CE FICHIER N'EST PAS UNE SOURCE. C'est une relecture à la main des notes
# techniques des fiches produits, où ces consignes dormaient mêlées aux coûts
# et aux questions Shopify. Chaque ligne est une phrase qui était déjà écrite
# quelque part ; le classement en volet, lui, est un jugement.
#
# À corriger sans hésiter : c'est Montassar qui voit les défauts, pas le
# chiffrier. Une ligne fausse ici est pire qu'une ligne absente.
#
# volet :
#   critique  ce qu'on ne peut pas rattraper après coup
#   probleme  ce qui revient d'un lot à l'autre
#   mesure    une cote à vérifier
#   cyclage   un test : lavage, compression, tenue de l'isolant
#
# La colonne « source » dit d'où vient la phrase. Vide = « notes techniques »,
# la relecture décrite plus haut. « atelier » = une consigne donnée de vive
# voix par ceux qui font le geste, notée ici pour qu'elle ne se reperde pas.
# « direction — décision Admin QC » = un point né de la révision produit par
# produit, et non d'une phrase qui existait déjà ailleurs. L'import se
# réclame ses propres lignes par `import_src` : ajouter une source ici ne
# laisse rien d'orphelin en base.
# Un point ajouté dans l'app porte le nom de qui l'a écrit — c'est plus fort
# qu'un fichier, et l'import n'y touche jamais.
#
# La colonne `schema` porte l'adresse d'une image RÉELLE du geste ou de la
# pièce, quand il en existe une. Elle prime sur une planche dessinée : une
# photo du vrai bandeau dans la vraie tuque dit ce qu'aucun dessin ne dira,
# et le dessin ne sert plus qu'à montrer le bon et le mauvais côte à côte.
#
# Importer : node mrp/import_qualite.js --ecrire
produit	volet	titre	detail	consequence	valeur	tolerance	unite	frequence	source	schema
CACHE-COU	critique	Viseline pour solidifier les boutonnières		Les boutonnières s'effilochent à l'usage					notes techniques
CACHE-COU	critique	Billes pour bloquer le cord-lock noir							notes techniques
CACHE-COU-ENF-5A13A	critique	Viseline pour solidifier les boutonnières							notes techniques
GANTS-MAGIQUES	mesure	Fibre d'asclépiade par gant	Avec mesh. Balance fournie dans le conteneur pour l'uniformité	Gants inégaux d'une paire à l'autre	4 à 5		g	chaque gant	notes techniques
GANTS-MAGIQUES	critique	Porter le gant pour l'assouplir	Après le remplissage, enfiler le gant et plier les doigts. C'est ce qui assouplit le gant et laisse l'asclépiade se replacer d'elle-même là où elle doit être.	Un gant qui n'a jamais été porté reste raide, et la fibre demeure tassée là où elle est tombée au remplissage — pas là où elle isole.				chaque gant	atelier
COUSSIN-ANIMAL	critique	Rouler, dérouler, attacher	Rouler le coussin serré, attacher les ganses, puis dérouler. Le geste doit se faire d'une main et les attaches doivent tenir le rouleau fermé.	Un coussin qui ne se roule pas ou dont l'attache lâche ne se transporte pas — c'est tout l'argument du produit qui tombe.				chaque lot	atelier
COUSSIN-ANIMAL	critique	Ganses solidement cousues	Tirer fermement sur chaque ganse. Couture renforcée aux deux extrémités, aucun jeu, aucun fil qui glisse.	La ganse porte tout le poids du coussin roulé, et un chien tire dessus. Elle cède à la couture, jamais au milieu.				chaque coussin	atelier
COUSSIN-ANIMAL	critique	Finition des coutures intérieures	Retourner et passer la main à l'intérieur. Coutures propres, surjetées, aucun bout de fil ni excédent qui traîne.	Un animal gratte et mordille : un fil qui dépasse à l'intérieur se défait en premier, et il peut être avalé.				chaque coussin	atelier
ETUI-TEL	critique	Les 2 rubans de ganses à la même hauteur		L'étui pend de travers					notes techniques
ETUI-TEL	mesure	Crochet métallique pour ganse	Selon échantillon. 1 étui = 1 ganse		2,5		cm		notes techniques
