# Consignes de dessin, un panneau par ligne.
#
# Ce fichier est la SUBSTANCE des planches : le style commun vit dans
# planches_ia.js, ici on décrit ce que montre chaque panneau. Une planche =
# quatre panneaux qui se suivent, comme une notice de montage.
#
# handle : la fiche Shopify dont la première photo sert de référence au modèle.
# C'est ce qui fait que le dessin montre le produit de Lasclay et pas un
# équivalent générique. Laisser vide pour un geste qui ne tient à aucun produit.
#
# Aucune consigne ne demande de texte : la planche se lit sans langue, et la
# numérotation est faite par la page, jamais par l'image.
#
# Essayer sans rien appeler :
#   node mrp/outils/planches_ia.js cachecou_bas --sec
#
planche	panneau	handle	prompt
cachecou_bas	1	cache-cou-asclepiade	The whole tubular neck gaiter standing upright, seen from the front, the complete garment inside the frame with its drawstring and cord lock visible at the top. A thin bright red ellipse is drawn around the lower hem, marking the horizontal bottom seam that runs all the way around. Nothing else is marked. No hands in this panel.
cachecou_bas	2	cache-cou-asclepiade	Close view of the BOTTOM PORTION of the same grey neck gaiter, as if stepping closer to the previous panel: the lower third of the garment fills the frame and the horizontal bottom seam runs straight across the middle of the picture, from edge to edge. Two stylised instructional hands are stacked one directly above the other in the CENTRE of the frame, both entirely inside the picture with nothing cut off by its edges. The upper hand pinches the fabric immediately above the seam; the lower hand pinches the hem band immediately below the very same spot, so the seam line passes between the two pinching fingers. The fabric is one single even flat grey with no blotches, no stains, no mottling and no stray wrinkle lines. The fabric is relaxed and the seam is closed. No arrows in this panel.
cachecou_bas	3	cache-cou-asclepiade	Exactly the same close view, the same horizontal bottom seam across the middle of the frame, and the same two hands stacked in the centre, both entirely inside the picture. The hands now move apart: the upper hand rises and the lower hand descends, and the fabric stretches taut between them across the seam. One bold red arrow outlined in white has its tail TOUCHING the back of the upper hand and points straight up; a second bold red arrow has its tail TOUCHING the back of the lower hand and points straight down. Each arrow is attached to its own hand — no arrow floats alone over empty fabric. The fabric is one single even flat grey with no blotches, no stains, no mottling and no stray wrinkle lines. The seam itself stays closed and flat.
cachecou_bas	4	cache-cou-asclepiade	Extreme close-up of that same horizontal bottom seam of the same grey garment, the seam running left to right across the frame, split into two halves by a thin vertical divider. On the left half the seam is flat, closed and evenly stitched, with a green check mark drawn as a plain geometric tick above it. On the right half the very same horizontal seam has pulled open along its length, the two fabric edges parted to show a gap with loose stitching thread bridging it, with a red cross drawn as two crossed bars above it. No hands in this panel.
fils	1	mittens	The whole mitten lying flat, seen from the front, right side out. Several short loose thread ends stick out along its seams, small but clearly visible against the fabric. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
fils	2	mittens	The same mitten turned INSIDE OUT and lying flat, showing the inner seams and the overlocked edges, with more short loose thread ends sticking out along them. The fabric is one even flat colour with no blotches, no stains, no mottling and no stray wrinkle lines. No hands in this panel.
fils	3	mittens	Close view of one seam of that mitten. One hand pinches a single loose thread between thumb and forefinger and draws it taut away from the cloth, so the thread is straight and under tension. One bold red arrow outlined in white has its tail touching that hand and points in the direction of the pull.
fils	4	mittens	The same close view. A small pair of scissors, held by one hand, closes on that taut thread right at the surface of the cloth, cutting it flush with the fabric; the severed piece of thread falls away below. No text anywhere.
etiquette	1	mittens	Close view of the inside wrist of the mitten. A small rectangular fabric label is caught in the seam, bearing one simple leaf shape as its only marking, the leaf pointing upward. No letters, no words, no numbers on the label — only the leaf.
etiquette	2	mittens	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. On the LEFT half, the small fabric label caught in the seam with its leaf mark the right way UP — the leaf's tip toward the top of the picture — and a green check mark above it. On the RIGHT half, the identical label turned a full 180 degrees so its leaf mark hangs UPSIDE DOWN, tip toward the bottom of the picture, and a red cross above it. The mirrored orientation of the leaf between the two halves is the whole point of this panel: if both leaves point the same way the drawing is wrong.
